"instance_id","solver","time","type"
"g11-g44","lad",461504,"alg"
"g11-g45","lad",431422,"alg"
"g11-g46","lad",804,"alg"
"g11-g47","lad",797,"alg"
"g11-g48","lad",1769,"alg"
"g11-g49","lad",42027072,"alg"
"g11-g50","lad",114,"alg"
"g11-g51","lad",182306,"alg"
"g11-g53","lad",234,"alg"
"g11-g54","lad",183,"alg"
"g11-g55","lad",87,"alg"
"g11-g56","lad",283,"alg"
"g11-g58-normed","lad",9,"alg"
"g11-g59-normed","lad",6,"alg"
"g11-g60-normed","lad",1e+08,"alg"
"g11-g62","lad",10,"alg"
"g11-g63","lad",5250,"alg"
"g11-g64","lad",347,"alg"
"g11-g65","lad",367034,"alg"
"g11-g66-normed","lad",372799,"alg"
"g11-g68","lad",1e+08,"alg"
"g11-g71","lad",5,"alg"
"g11-g73-normed","lad",79450352,"alg"
"g11-g74","lad",25,"alg"
"g11-g75","lad",179,"alg"
"g11-g77","lad",1203,"alg"
"g11-g79","lad",12,"alg"
"g11-g81","lad",673930,"alg"
"g11-g82-normed","lad",695888,"alg"
"g11-g83","lad",899861,"alg"
"g11-g87","lad",402,"alg"
"g11-g88","lad",2830,"alg"
"g11-g91","lad",16,"alg"
"g11-g92","lad",11,"alg"
"g11-g93-normed","lad",8976,"alg"
"g11-g95","lad",5,"alg"
"g11-g96","lad",7,"alg"
"g11-g98","lad",27,"alg"
"g11-g99","lad",31,"alg"
"g12-g106","lad",84,"alg"
"g12-g107","lad",48,"alg"
"g12-g108","lad",51,"alg"
"g12-g110","lad",5123,"alg"
"g12-g111","lad",94,"alg"
"g12-g20","lad",87,"alg"
"g12-g27","lad",2,"alg"
"g12-g29","lad",55,"alg"
"g12-g30","lad",47,"alg"
"g12-g31","lad",110,"alg"
"g12-g40","lad",129,"alg"
"g12-g43","lad",69,"alg"
"g12-g44","lad",59,"alg"
"g12-g45","lad",60,"alg"
"g12-g50","lad",151,"alg"
"g12-g51","lad",1,"alg"
"g12-g60-normed","lad",114,"alg"
"g12-g63","lad",44,"alg"
"g12-g64","lad",12680,"alg"
"g12-g68","lad",4747,"alg"
"g12-g73-normed","lad",144,"alg"
"g12-g74","lad",35,"alg"
"g12-g75","lad",247,"alg"
"g12-g76","lad",812,"alg"
"g12-g77","lad",2676,"alg"
"g12-g84","lad",1e+08,"alg"
"g12-g93-normed","lad",8370,"alg"
"g13-g104","lad",41,"alg"
"g13-g105","lad",40,"alg"
